screen_name,location,created_at,language,created_year
ChivasGraduates,"London, England",2015-09-20 17:10:31,,2015
maduwapatrick,Hamulima,2013-03-24 12:52:41,,2013
DunlopGoodwood,"Cape Town, South Africa",2016-11-21 11:51:42,,2016
CitroenSA,South Africa,2010-04-16 08:16:34,,2010
ebamusiclive,"New York, USA",2016-12-04 21:29:19,,2016
TheBlackCitizen,,2016-12-22 00:12:28,,2016
zinhle08943838,,2017-01-12 21:57:41,,2017
kabasa_tumelo99,"Mogale City, South Africa🇿🇦",2010-05-17 17:49:12,,2010
Yanga_Mabokela,East London,2014-10-11 20:01:52,,2014
PumHeolPeddlers,"Five Roads, Wales",2016-09-09 18:15:43,,2016
AsbzN,,2013-06-03 16:38:00,,2013
VanessaDavies10,,2012-01-11 18:22:11,,2012
steffhughes,Cymru,2011-01-11 15:20:22,,2011
theevening1874,,2009-06-28 10:44:01,,2009
TDivestment,"Cambridge, UK",2020-11-30 20:50:18,,2020
FckmeSandra,,2020-05-19 22:32:20,,2020
LookingPaisley,,2020-09-04 23:01:32,,2020
Ashishy5778," Ludyara Shahgarh, India",2020-06-04 11:10:19,,2020
mukesh_chaudhri,,2015-01-08 06:04:34,,2015
LakshManagement,"Safal Arise,Manjalpur,Vadodara",2020-01-31 09:58:43,,2020
Sagarconsultant,India,2014-02-13 14:08:49,,2014
AirtelDont,,2017-10-13 16:51:08,,2017
CowboysMx1,"Distrito Federal, México",2018-01-17 17:24:04,,2018
rocksales_isma,en la linda chilangolandia,2012-03-14 04:03:37,,2012
LuisQuintanar_5,estado de méxico,2009-12-25 19:38:59,,2009
pumaupiicsa,México Tenochtitlan,2011-08-25 05:16:16,,2011
isra8aperez,Azcapotzalco,2010-12-20 23:07:12,,2010
lmolinao1,"Tlalnepantla de Baz, México",2012-05-23 05:35:04,,2012
li_gargon,,2012-10-28 22:03:09,,2012
dts2security,"Buenos Aires, Argentina AR",2009-07-27 02:28:29,,2009
23zIsrael,,2014-03-19 04:26:01,,2014
